Dossier,Groupe
42991,E13
43004,E12
43009,E11
43338,C212
43729,E12
44382,C212
44422,E13
48502,E11
48982,C111
49282,C122
49707,C211
49720,E11
49737,E13
49759,E12
49880,E11
51395,C111
51594,E13
51597,C212
52006,E11
52010,E12
52041,E13
52063,C111
52068,C121
52094,E11
52103,C211
52111,C211
52112,C111
52135,E13
52144,E11
52148,C122
52167,E12
52191,C122
52275,E11
52318,E12
52358,E12
52414,C212
52446,E11
52531,C212
52711,E11
52758,E13
52798,E13
52817,E11
52824,C112
52828,C122
52828,E11
52854,E12
52949,C111
52977,C121
52983,C211
53010,E12
53012,E13
53048,E12
53067,E12
53081,C122
53083,C112
53135,C121
53173,C212
53175,E12
53183,C111
53203,C111
53204,C121
53204,E13
53212,C112
53554,C211
53735,C121
53912,C211
54010,C112
54018,C122
54018,E11
54024,C121
54024,E12
54027,E13
54057,C112
54114,C111
54147,C112
54160,C211
54170,C112
54170,E11
54191,C212
54193,E12
54229,E13
54230,E11
54232,C122
54238,E12
54252,C111
54254,E13
54257,C211
54259,E11
54264,C111
54311,C112
54314,C121
54317,C212
54318,C211
54323,C112
54330,C112
54332,E11
54356,C122
54381,C111
54383,C112
54389,C212
54449,C212
54456,C122
54473,C121
54516,C122
54563,C111
54627,C122
54637,C121
54637,E13
54640,C112
54718,C122
54720,C111
54782,C212
54785,C211
54802,C211
54810,C122
54892,E13
54893,E13
54895,C111
54915,C112
54923,C121
54931,C211
54966,C112
54985,C121
55011,C121
55019,C122
55025,C212
55044,C212
55047,E11
55084,C111
55130,E13
55214,C112
55243,C121
55284,C121
55315,E11
55349,C122
55727,C121
55803,C111
55840,C112
55909,C112
55960,C121
55990,C122
55994,C111
55996,C112
56020,C121
56035,C122
56037,C211
56042,C212
56055,C111
56060,C111
56078,C112
56080,C121
56081,C111
56110,C112
56133,C121
56135,C211
56149,C112
56164,C111
56167,C212
56172,C112
56200,C121
56212,C122
56272,C111
56297,C112
56359,C121
56366,C122
56387,C111
56486,C112
56514,C121
56581,C111
56583,C122
56682,C121
56870,C122
56935,C211
57034,C111
57396,C112
57397,C121
57411,C212
57444,C211
57618,C121
52063,E13
54252,E12
54193,C122
52424,A111
53854,A122
53998,A322
54036,A121
54162,A112
54196,A312
54236,A132
54306,A121
54381,A111
54408,A222
54517,A111
54605,A332
54691,A311
54745,A122
54774,A221
54778,A122
54808,A312
54823,A132
54851,A131
54873,A312
54909,A112
54910,A111
55027,A132
55110,A332
55319,A211
55670,A122
55840,A132
55956,A112
55973,A212
55974,A221
55975,A221
55982,A222
55984,A232
55988,A222
55989,A131
56023,A231
56025,A311
56026,A232
56038,A111
56045,A121
56065,A132
56066,A212
56068,A221
56072,A111
56076,A311
56077,A232
56079,A312
56084,A311
56117,A311
56123,A321
56130,A111
56141,A121
56146,A212
56165,A212
56166,A331
56168,A321
56169,A322
56170,A311
56175,A331
56176,A332
56182,A131
56183,A132
56186,A231
56192,A111
56193,A232
56199,A212
56202,A231
56209,A111
56321,A222
56370,A231
56372,A321
56373,A112
56383,A221
56401,A121
56402,A321
56407,A211
56460,A122
56467,A122
56482,A321
56493,A131
56510,A312
56512,A131
56513,A132
56517,A211
56520,A211
56525,A231
56531,A232
56544,A121
56558,A231
56562,A221
56580,A122
56585,A212
56626,A331
56643,A311
56699,A221
56744,A131
56790,A222
56846,A112
56876,A212
56909,A211
57346,A231
57383,A222
57406,A232
57556,A231
57557,A311
57568,A311
57598,A331
57599,A312
57631,A312
57730,A332
57795,A321
57796,A312
57823,A121
42969,E11
51603,E12
42482,E11
54247,E12
54307,C122
56045,C122
51991,C112
52445,C121
54420,C122
42969,C111
51603,C112
56873,C112
54014,C122
54198,C111
54889,C111
52128,C112
52279,C121
47342,C211
56593,C212
53913,C211
54678,C212
54018,A111
54318,A112
54323,A121
54389,A122
55025,A131
55084,A132
55960,A211
56042,A212
56055,A221
56149,A222
56272,A231
56297,A232
56366,A311
56486,A312
57396,A321
57618,A322
42482,C111
42991,C121
44422,C122
49737,C111
49880,C112
51594,C121
52006,C122
52167,C111
52318,C112
52424,C121
52711,C122
52798,C111
52854,C112
53012,C121
53854,C122
54162,C111
54229,C112
54259,C121
54745,C122
54774,C111
54778,C112
54823,C121
55395,C122
56025,C111
56068,C111
56202,C121
56373,C122
56493,C111
56525,C112
56626,C121
56643,C111
45282,C211
52877,C212
52894,C211
53100,C212
53309,C211
54236,C212
54306,C211
54873,C212
55974,C211
56117,C212
57556,C211
57598,C212
48982,E11
49282,E12
51991,E13
52128,E11
52148,E13
52191,E13
52279,E11
52848,E12
52949,E13
53135,E11
53203,E12
53212,E13
53735,E13
54198,E12
54311,E13
54356,E11
54456,E12
54563,E13
54640,E13
54966,E12
58429,A212
58431,A221
58432,A222
58433,A231
58434,A232
58438,A311
58440,A312
58442,A321
58444,A322
58446,A331
58447,A332
58450,A111
58459,A112
58489,A121
58491,A122
58493,A131
58497,A132
58499,A211
58506,A212
58508,A221
58514,A222
58516,A231
58518,A232
58520,A311
58521,A312
58538,A321
58540,A322
58543,A331
58544,A332
58545,A111
58554,A112
58556,A121
58557,A121
58558,A131
58560,A132
58562,A211
58566,A212
58572,A221
58574,A222
58576,A231
58577,A232
58578,A311
58590,A312
58592,A321
58594,A322
58596,A331
58600,A332
58601,A111
58603,A112
58604,A121
58607,A122
58612,A131
58617,A132
58618,A211
58619,A212
58620,A221
58625,A222
58644,A231
58645,A232
58646,A311
58647,A312
58649,A321
58651,A322
58652,A331
58653,A332
58667,A111
58671,A112
58682,A121
58691,A122
58692,A131
58693,A132
58695,A211
58696,A212
58701,A221
58731,A222
58734,A231
58736,A232
58738,A311
58740,A312
58744,A321
58749,A322
58757,A331
58764,A332
58770,A111
58780,A112
58782,A121
58783,A122
58784,A131
58788,A132
58789,A211
58793,A212
58799,A221
58809,A222
58810,A231
58814,A232
58823,A311
58824,A312
58825,A321
58827,A322
58829,A331
58831,A332
58832,A111
58833,A112
58848,A121
58849,A122
58852,A131
58854,A132
58855,A211
58862,A222
58871,A221
58876,A212
58878,A231
58880,A232
58894,A311
58898,A312
58913,A321
58915,A322
58918,A331
58922,A332
58923,A111
58926,A112
58927,A121
58929,A122
58932,A131
58933,A132
58934,A211
58935,A212
58936,A221
58937,A222
58939,A231
58940,A232
58949,A311
58983,A312
58990,A321
58991,A132
58994,A331
58996,A332
58999,A111
59004,A112
59031,A121
59100,A131
59105,A132
59109,A211
59144,A231
59149,A232
59179,A112
59227,A321
59228,A322
59230,A331
59231,A332
59240,A112
59244,A122
59248,A131
59252,A211
59262,A221
59263,A222
59267,A231
59266,A232
59051,A331
59270,A311
59272,A312
59273,A321
59276,A331
59277,A332
59278,A111
59279,A112
59094,A322
52276,C212
54490,E12
54685,C112
55301,C112
57440,A131
55792,A121
53989,A122
59327,A131
59329,A132
59328,A211
59330,A212
57694,A221
59332,A222
59333,A231
59334,A232
59336,A311
59338,A312
59339,A321
57475,A322
57634,A331
55831,A332
59356,A111
59358,A112
59362,A121
55987,A122
59372,A132
56364,A211
59374,A212
59375,A221
59389,A222
56495,A231
59393,A232
56834,A311
59400,A312
59403,A321
59408,A322
59409,A331
59416,A332
55181,A111
59424,A112
57816,A121
59449,A122
59460,A131
59474,A132
59485,A211
59487,A131
59491,A221
59495,A222
59498,A231
59512,A232
56181,A311
57801,A312
59544,A321
59549,A322
57201,A331
43335,A121
45704,A111
52196,A322
52277,A131
52428,A222
53960,A331
55418,A221
56862,A232
58495,A211
59237,A212
49773,C112
52848,C122
53175,C112
55015,C121
55085,C122
42945,C223
43290,C223
45704,C223
49582,C223
51894,C223
52008,C223
52237,C223
52258,C223
52277,C223
52403,C223
52428,C223
52582,C223
52646,C223
53084,C223
53587,C223
53650,C223
53960,C223
53998,C223
54025,C223
54163,C223
54175,C223
54309,C223
54315,C223
54432,C223
54549,C223
54985,E13
55243,E11
55803,E12
54627,E13
52977,E12
54895,E12
53037,C122
54513,C111
54999,C111
55418,C112
54490,C121
56882,C122
57440,C211
55140,C212
53199,C211
49773,E11
49262,E11
49704,A111
55317,A112
55395,A121
57937,A122
57942,A131
57958,A322
57968,A211
57969,A212
57973,A221
57984,A222
57989,A231
57998,A232
57999,A311
58000,A312
58001,A321
58002,A322
58004,A331
58007,A332
58008,A111
58018,A112
58020,A121
58037,A122
58047,A131
58051,A132
58063,A211
58071,A212
58073,A221
58083,A212
58087,A231
58088,A232
58089,A311
58090,A312
58091,A321
58093,A322
58098,A331
58099,A332
58100,A111
58102,A112
58103,A121
58108,A122
58109,A131
58110,A132
58112,A211
58113,A222
58115,A221
58116,A222
58117,A231
58120,A232
58121,A311
58122,A312
58123,A321
58124,A322
58126,A331
58128,A332
58131,A111
58132,A112
58134,A121
58136,A122
58137,A131
58138,A132
58140,A211
58141,A212
58143,A221
58144,A222
58146,A231
58148,A232
58149,A311
58151,A312
58152,A321
58172,A322
58180,A331
58182,A332
58183,A111
58184,A112
58186,A121
58187,A122
58194,A131
58196,A132
58199,A211
58203,A212
58204,A221
58206,A222
58207,A231
58274,A232
58276,A311
58284,A312
58287,A321
58299,A322
58332,A331
58339,A332
58341,A111
58344,A112
58345,A121
58362,A122
58366,A131
58370,A132
58381,A211
58382,A212
58383,A221
58389,A222
58392,A231
58393,A232
58396,A311
58397,A312
58398,A321
58399,A322
58402,A331
58408,A332
58410,A111
58412,A112
58414,A122
58416,A122
58423,A131
58427,A132
58428,A211
55279,A212
55238,A221
59748,A222
56899,A231
57857,A232
58918,C122
52754,C122
54664,C223
54691,C223
54740,C223
54865,C223
54898,C223
54900,C223
55653,C223
55870,C223
56038,C223
56065,C223
56084,C223
56173,C223
56411,C223
56472,C223
56862,C223
57343,C223
57501,C223
43335,C211
